file,total_count,total_vol_m3,total_mass,missing_sizes,space_vol_m3,computed_fill_percent,flag
data_for_algoritm_11834.json,524,3.996163,6218460.753,0,91.63,4.361,LOW_FILL
data_for_algoritm_12729.json,33,0.99,198.0,0,91.63,1.08,LOW_FILL
data_for_algoritm_13579.json,17,25.296,6800.0,0,91.63,27.607,OK
data_for_algoritm_13580.json,61,1.768,860.0,0,91.63,1.929,LOW_FILL
data_for_algoritm_14208.json,33,50.688,23760.0,0,91.63,55.318,OK
data_for_algoritm_14457.json,1785,172.52375,25272.0,0,91.63,188.283,OK
data_for_algoritm_14770.json,18,27.33234,7344.0,0,91.63,29.829,OK
data_for_algoritm_14771.json,60,78.277063,24602.0,0,91.63,85.427,OK
data_for_algoritm_14772.json,18,27.33234,7344.0,0,91.63,29.829,OK
data_for_algoritm_14775.json,18,27.33234,7344.0,0,91.63,29.829,OK
data_for_algoritm_14781.json,500,0.7,250.0,0,91.63,0.764,LOW_FILL
data_for_algoritm_14784.json,61,1.768,860.0,0,91.63,1.929,LOW_FILL
data_for_algoritm_14786.json,505,6.57,1370.0,0,91.63,7.17,OK
data_for_algoritm_14787.json,505,6.57,1370.0,0,91.63,7.17,OK
data_for_algoritm_14793.json,2000,36.783,6000.0,0,91.63,40.143,OK
data_for_algoritm_14798.json,2000,36.783,6000.0,0,91.63,40.143,OK
data_for_algoritm_14803.json,59,6.804,792.0,0,91.63,7.426,OK
data_for_algoritm_14806.json,76,7.535136,996.0,0,91.63,8.223,OK
data_for_algoritm_14808.json,82,8.154336,1044.0,0,91.63,8.899,OK
data_for_algoritm_14809.json,82,8.154336,1044.0,0,91.63,8.899,OK
data_for_algoritm_14810.json,82,8.154336,1044.0,0,91.63,8.899,OK
data_for_algoritm_14811.json,82,8.154336,1044.0,0,91.63,8.899,OK
data_for_algoritm_14836.json,95,9.495936,1148.0,0,91.63,10.363,OK
data_for_algoritm_14860.json,135,26.989875,3815.0,0,91.63,29.455,OK
data_for_algoritm_14864.json,26,24.576,21600.0,0,91.63,26.821,OK
data_for_algoritm_14870.json,26,24.576,21600.0,0,91.63,26.821,OK
data_for_algoritm_14905.json,505,6.57,1370.0,0,91.63,7.17,OK
data_for_algoritm_14933.json,26,24.576,21600.0,0,91.63,26.821,OK
data_for_algoritm_14941.json,170,21.520978,3321.4,0,91.63,23.487,OK
data_for_algoritm_14942.json,170,21.520978,3321.4,0,91.63,23.487,OK
data_for_algoritm_14946.json,12,1.44,180.0,0,91.63,1.572,LOW_FILL
data_for_algoritm_14947.json,27,4.93186,613.6,0,91.63,5.382,OK
data_for_algoritm_14948.json,19,2.049484,344.8,0,91.63,2.237,LOW_FILL
data_for_algoritm_14949.json,19,2.049484,344.8,0,91.63,2.237,LOW_FILL
data_for_algoritm_14950.json,4,11.04,1400.0,0,91.63,12.048,OK
data_for_algoritm_14951.json,8,11.6544,2200.0,0,91.63,12.719,OK
data_for_algoritm_14952.json,8,17.184,2200.0,0,91.63,18.754,OK
data_for_algoritm_14955.json,21,44.716,24400.0,0,91.63,48.801,OK
data_for_algoritm_14957.json,21,44.716,24400.0,0,91.63,48.801,OK
data_for_algoritm_14974.json,50,31.499925,14991.0,0,91.63,34.377,OK
data_for_algoritm_14975.json,43,16.81794,7765.0,0,91.63,18.354,OK
data_for_algoritm_14993.json,1145,198.85152,23400.0,0,91.63,217.016,OK
data_for_algoritm_15024.json,24,31.199723,7930.0,0,91.63,34.05,OK
