error_type,iteration,volume_m3,mass_kg,volume_deviation,pallets_needed,fits_in_pallet
none,1,0.99,198.0,0.0,0.5729166666666666,True
none,2,0.99,198.0,0.0,0.5729166666666666,True
none,3,0.99,198.0,0.0,0.5729166666666666,True
none,4,0.99,198.0,0.0,0.5729166666666666,True
none,5,0.99,198.0,0.0,0.5729166666666666,True
none,6,0.99,198.0,0.0,0.5729166666666666,True
none,7,0.99,198.0,0.0,0.5729166666666666,True
none,8,0.99,198.0,0.0,0.5729166666666666,True
none,9,0.99,198.0,0.0,0.5729166666666666,True
none,10,0.99,198.0,0.0,0.5729166666666666,True
overestimate,1,1.1438658,198.0,15.542,0.661959375,True
overestimate,2,1.1438658,198.0,15.542,0.661959375,True
overestimate,3,1.1438658,198.0,15.542,0.661959375,True
overestimate,4,1.1438658,198.0,15.542,0.661959375,True
overestimate,5,1.1438658,198.0,15.542,0.661959375,True
overestimate,6,1.1438658,198.0,15.542,0.661959375,True
overestimate,7,1.1438658,198.0,15.542,0.661959375,True
overestimate,8,1.1438658,198.0,15.542,0.661959375,True
overestimate,9,1.1438658,198.0,15.542,0.661959375,True
overestimate,10,1.1438658,198.0,15.542,0.661959375,True
underestimate,1,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,2,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,3,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,4,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,5,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,6,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,7,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,8,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,9,0.8505882,198.0,-14.082,0.49223854166666664,True
underestimate,10,0.8505882,198.0,-14.082,0.49223854166666664,True
random,1,1.0451925,198.0,5.575,0.6048567708333333,True
random,2,1.085522592,198.0,9.648746666666666,0.6281959444444445,True
random,3,1.01296536,198.0,2.319733333333333,0.5862068055555556,True
random,4,0.973608768,198.0,-1.65568,0.563431,True
random,5,0.936012132,198.0,-5.45332,0.5416736875,True
random,6,0.97223544,198.0,-1.7944000000000002,0.56263625,True
random,7,0.989099397,198.0,-0.09097000000000001,0.572395484375,True
random,8,1.003955832,198.0,1.40968,0.5809929583333333,True
random,9,1.00235322,198.0,1.2478,0.5800655208333333,True
random,10,1.024767744,198.0,3.511893333333333,0.5930368888888888,True
one_dim,1,9.9,198.0,900.0,5.729166666666667,False
one_dim,2,9.9,198.0,900.0,5.729166666666667,False
one_dim,3,9.9,198.0,900.0,5.729166666666667,False
one_dim,4,9.9,198.0,900.0,5.729166666666667,False
one_dim,5,9.9,198.0,900.0,5.729166666666667,False
one_dim,6,9.9,198.0,900.0,5.729166666666667,False
one_dim,7,9.9,198.0,900.0,5.729166666666667,False
one_dim,8,9.9,198.0,900.0,5.729166666666667,False
one_dim,9,9.9,198.0,900.0,5.729166666666667,False
one_dim,10,9.9,198.0,900.0,5.729166666666667,False
