Паллета,Груз,Количество,Объём (м³),Масса (кг)
1,183,3,0.0962,48.66
1,184,1,0.029,13.15
1,130,10,0.2356,262.07
1,136,1,0.0236,23.65
1,182,3,0.0703,134.36
1,179,2,0.0395,33.42
1,180,1,0.0197,10.61
1,181,5,0.0987,83.55
1,171,1,0.0163,33.85
1,123,1,0.0147,31.2
1,201,1,0.0136,5.15
1,133,1,0.0131,17.65
1,134,3,0.0392,52.96
1,157,1,0.0131,5.55
1,158,10,0.1307,176.54
1,159,5,0.0653,88.27
1,160,3,0.0392,52.96
1,162,5,0.0653,88.27
1,163,5,0.0653,25.0
1,164,3,0.0392,52.96
1,165,7,0.0915,123.58
1,166,2,0.0261,35.31
1,167,3,0.0392,52.96
1,168,5,0.0653,25.0
1,169,2,0.0261,10.0
1,170,15,0.196,264.81
1,137,1,0.013,6.61
1,138,1,0.013,6.64
1,173,2,0.0247,46.02
1,176,2,0.0247,46.02
1,153,2,0.0246,89.56
2,154,5,0.0615,223.89
2,198,2,0.0239,89.25
2,199,2,0.0239,89.25
2,189,2,0.0238,11.37
2,191,3,0.0357,16.87
2,192,4,0.0476,22.43
2,193,1,0.0119,5.61
2,194,4,0.0476,22.43
2,141,1,0.0105,4.39
2,142,1,0.0105,16.53
2,143,1,0.0105,15.8
2,144,1,0.0105,35.12
2,145,1,0.0105,15.8
2,95,2,0.0201,39.63
2,186,1,0.0098,44.72
2,196,2,0.0195,7.18
2,197,1,0.0098,3.6
2,200,2,0.0195,89.43
2,202,4,0.0391,178.86
2,187,3,0.027,8.75
2,188,1,0.009,3.01
2,84,1,0.0086,2.31
2,85,1,0.0086,2.31
2,86,1,0.0086,2.31
2,150,12,0.0975,536.21
2,151,12,0.0975,535.14
2,82,1,0.008,1.79
2,91,1,0.008,1.8
2,172,1,0.0076,0.86
2,111,3,0.0226,10.7
2,112,1,0.0075,3.66
2,113,1,0.0075,3.56
2,114,1,0.0075,3.56
2,115,1,0.0075,3.56
2,116,1,0.0075,3.56
2,117,1,0.0075,3.56
2,118,1,0.0075,3.56
2,119,1,0.0075,3.56
2,120,1,0.0075,3.56
2,121,1,0.0073,3.48
2,122,1,0.0073,3.48
2,125,1,0.0073,3.48
2,126,1,0.0073,3.48
2,128,5,0.0364,17.43
2,131,2,0.0146,6.97
2,146,4,0.0291,13.94
2,147,3,0.0219,10.46
2,148,15,0.1093,52.27
2,149,10,0.0728,34.85
2,155,5,0.0364,15.62
2,156,10,0.0728,31.25
2,73,1,0.0071,2.99
2,129,1,0.0069,44.78
2,132,1,0.0069,44.81
2,140,1,0.0069,30.35
2,89,1,0.0068,1.89
2,90,1,0.0068,1.88
2,88,5,0.0318,223.41
2,124,5,0.0318,60.57
2,127,10,0.0636,464.47
2,135,10,0.0636,128.44
2,139,10,0.0636,128.44
2,152,20,0.1272,242.28
3,161,20,0.1272,242.28
3,195,1,0.0059,47.18
3,93,1,0.0057,44.77
3,94,3,0.0172,134.32
3,100,1,0.0057,1.91
3,106,1,0.0057,1.93
3,107,2,0.0115,3.85
3,108,2,0.0115,3.85
3,109,2,0.0115,3.83
3,110,2,0.0115,3.85
3,102,2,0.0113,44.63
3,74,1,0.0055,1.29
3,75,1,0.0055,1.28
3,76,1,0.0055,47.12
3,77,1,0.0055,1.28
3,79,2,0.011,89.19
3,80,1,0.0055,44.59
3,81,1,0.0055,43.47
3,78,1,0.0054,1.31
3,101,1,0.0054,44.59
3,185,1,0.0054,34.7
3,92,1,0.0054,44.56
3,99,1,0.0051,16.83
3,83,4,0.0203,9.17
3,87,4,0.0203,9.22
3,103,1,0.0045,27.03
3,104,2,0.009,89.61
3,105,2,0.009,66.48
3,177,1,0.004,0.85
3,178,1,0.004,0.85
3,190,1,0.0035,1.23
3,96,3,0.0099,1.51
3,97,5,0.0165,2.51
3,98,2,0.0066,1.0
3,42,1,0.0026,0.85
3,50,2,0.0053,1.7
3,39,2,0.0053,1.8
3,40,1,0.0026,0.9
3,41,1,0.0026,0.9
3,61,1,0.0026,0.9
3,1,1,0.0025,0.8
3,2,1,0.0025,0.84
3,3,1,0.0025,0.84
3,4,1,0.0025,0.84
3,6,1,0.0025,0.84
3,7,1,0.0025,0.84
3,8,1,0.0025,0.84
3,9,1,0.0025,0.84
3,10,1,0.0025,0.84
3,11,1,0.0025,0.84
3,12,1,0.0025,0.84
3,29,1,0.0025,0.81
3,51,2,0.005,1.59
3,52,2,0.005,1.83
3,68,3,0.0075,2.49
3,71,2,0.005,1.66
3,72,3,0.0075,2.49
3,21,3,0.0074,2.49
3,22,2,0.0049,1.66
3,23,2,0.0049,1.66
3,24,2,0.0049,1.66
3,25,3,0.0074,2.49
3,26,3,0.0074,2.49
3,174,1,0.002,44.65
3,175,1,0.002,44.65
3,5,1,0.0019,0.76
3,28,1,0.0019,0.73
3,62,2,0.0037,1.52
3,69,2,0.0037,1.32
3,70,2,0.0037,1.46
3,18,2,0.0037,1.04
3,19,2,0.0037,1.04
3,20,2,0.0037,1.03
3,32,3,0.0056,1.58
3,33,2,0.0037,1.05
3,35,3,0.0056,1.56
3,36,2,0.0037,1.05
3,37,2,0.0037,1.04
3,38,2,0.0037,1.05
3,45,3,0.0056,1.56
3,46,3,0.0056,1.58
3,47,3,0.0056,1.58
3,48,2,0.0037,1.05
3,60,4,0.0074,2.07
3,63,3,0.0056,1.56
3,64,3,0.0056,1.56
3,66,2,0.0037,1.05
3,67,2,0.0037,1.04
3,54,2,0.0036,1.23
3,27,1,0.0016,0.65
3,58,2,0.0032,1.3
3,59,2,0.0032,1.3
3,65,1,0.0016,0.65
3,13,1,0.0012,0.5
3,14,1,0.0012,0.5
3,15,3,0.0036,1.49
3,16,1,0.0012,0.5
3,17,2,0.0024,0.99
3,30,2,0.0024,0.99
3,31,1,0.0012,0.5
3,34,1,0.0012,0.5
3,43,2,0.0024,0.96
3,44,1,0.0012,0.48
3,49,1,0.0012,0.47
3,53,2,0.0024,0.96
3,55,1,0.0012,0.48
3,56,1,0.0012,0.48
3,57,1,0.0012,0.48
