№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
1,data_for_algoritm_15380.json,RM800F,1420,720,600,2,0.6134,1.23,96.0,Европаллета
2,data_for_algoritm_14947.json,D300,630,400,450,4,0.1134,0.45,80.0,Европаллета
3,data_for_algoritm_15792.json,M300MKII,650,380,520,3,0.1284,0.39,88.5,Европаллета
4,data_for_algoritm_15503.json,А145,2800,1800,1450,1,7.308,7.31,1.23,Фургон
5,data_for_algoritm_15486.json,"Нап пивн ESSA АнанасГрейп 6,5% жб 0.45L",390,254,171,1,0.0169,0.02,11.29,Европаллета
6,data_for_algoritm_15444.json,шина,4000,200,200,1,0.16,0.16,100.0,Европаллета
7,data_for_algoritm_15323.json,SAP6600600335,300,190,160,1,0.0091,0.01,0.6,Европаллета
8,data_for_algoritm_17374.json,Гофрокороб N23 (565х380х495),1200,883,2095,2,2.2199,4.44,500.0,Фургон
9,data_for_algoritm_15216.json,201,356,186,205,1,0.0136,0.01,5.15,Европаллета
10,data_for_algoritm_16901.json,Напиток ба LIPTON хол. зеленый чай 0.5L,261,195,227,1,0.0116,0.01,6.47,Европаллета
11,data_for_algoritm_15024.json,Özbekoğlu,1200,1400,2200,1,3.696,3.7,400.0,Фургон
12,data_for_algoritm_14975.json,ПС-2.6,2550,1927,60,1,0.2948,0.29,145.0,Европаллета
13,data_for_algoritm_15217.json,110,236,171,142,2,0.0057,0.01,3.85,Европаллета
14,data_for_algoritm_15483.json,А282,5000,1200,1600,1,9.6,9.6,1000.0,Фургон
15,data_for_algoritm_15489.json,А263,4270,3270,1110,1,15.4988,15.5,2.63,Спецтранспорт
16,data_for_algoritm_17212.json,30. (R13D) Упаковка гранитного пола,1470,1150,265,1,0.448,0.45,100.0,Европаллета
17,data_for_algoritm_14974.json,ПК-05,4244,2400,100,4,1.0186,4.07,2036.8,Фургон
18,data_for_algoritm_15481.json,А351,10990,3430,3010,1,113.4641,113.46,13.18,Спецтранспорт
19,data_for_algoritm_17373.json,Гофрокороб N17 (595х260х500),1200,800,2095,11,2.0112,22.12,2750.0,Фура 13.6 м
20,data_for_algoritm_16900.json,"Молоко PARMALAT Comfort Безлакт 1,8% 1 л",301,236,217,1,0.0154,0.02,12.87,Европаллета
21,data_for_algoritm_15483.json,А311,5040,2540,1260,1,16.13,16.13,1.57,Спецтранспорт
22,data_for_algoritm_17022.json,ступень,3000,300,80,10,0.072,0.72,10.0,Европаллета
23,data_for_algoritm_15834.json,JamLab 6R,490,280,380,1,0.0521,0.05,9.5,Европаллета
24,data_for_algoritm_11834.json,107,236,171,142,2,0.0057,0.01,3.85,Европаллета
25,data_for_algoritm_15455.json,"Нап пив VELKOP KOZEL темн 3,7% жб 0.45L",407,277,172,1,0.0194,0.02,11.56,Европаллета
26,data_for_algoritm_16901.json,Пряники ЯШКИНО Шоколадные 350г,390,300,170,1,0.0199,0.02,3.14,Европаллета
27,data_for_algoritm_16394.json,палета,1200,800,1800,200,1.728,345.6,40000.0,Спецтранспорт
28,data_for_algoritm_15832.json,JamLab 6C,520,290,290,9,0.0437,0.39,67.5,Европаллета
29,data_for_algoritm_15453.json,Сливки BONVIDA стер пит порц 10% 1010г,350,210,113,1,0.0083,0.01,2.38,Европаллета
30,data_for_algoritm_15483.json,А227,4040,2590,1610,1,16.8464,16.85,1.55,Спецтранспорт
31,data_for_algoritm_16330.json,очистка,2300,1750,1300,1,5.2325,5.23,680.0,Фургон
32,data_for_algoritm_15323.json,SAP6600600335,600,300,750,1,0.135,0.14,25.0,Европаллета
33,data_for_algoritm_15217.json,94,236,171,142,3,0.0057,0.02,134.32,Европаллета
34,data_for_algoritm_16732.json,Reference 40MKII,670,490,280,2,0.0919,0.18,20.0,Европаллета
35,data_for_algoritm_15217.json,159,297,166,265,5,0.0131,0.07,88.27,Европаллета
36,data_for_algoritm_16589.json,Grill Cyber 100TH,290,250,510,3,0.037,0.11,30.0,Европаллета
37,data_for_algoritm_16441.json,Редуктор Специальный,1550,1000,1450,4,2.2475,8.99,11.6,Фургон
38,data_for_algoritm_15571.json,Чай GREENFIELD Golden Ceylon черн 25пх2г,175,169,363,1,0.0107,0.01,1.09,Европаллета
39,data_for_algoritm_15082.json,корпус2,1200,400,70,1,0.0336,0.03,30.0,Европаллета
40,data_for_algoritm_17079.json,15.1. Упаковка дверей шахты,2100,1150,1000,3,2.415,7.25,225.0,Фургон
